filename,true,condition,b,c,e,rule_branch,pred_passthrough,prob_passthrough,ptrue_passthrough,pred_gamma,prob_gamma,ptrue_gamma,pred_clahe,prob_clahe,ptrue_clahe,pred_stretch,prob_stretch,ptrue_stretch
data\gtsrb\GTSRB\Training\00011\00025_00023.ppm,11,mixed,0.247268,0.167034,0.273698,passthrough,11,0.397201,0.397201,11,0.335129,0.335129,20,0.119395,0.061049,11,0.451744,0.451744
data\gtsrb\GTSRB\Training\00011\00009_00024.ppm,11,clean,0.352731,0.462844,0.178517,passthrough,11,0.677428,0.677428,11,0.851037,0.851037,11,0.58956,0.58956,11,0.795445,0.795445
data\gtsrb\GTSRB\Training\00011\00009_00024.ppm,11,lowlight,0.128505,0.490789,0.117258,passthrough,11,0.188268,0.188268,11,0.618906,0.618906,11,0.231433,0.231433,20,0.14578,0.11834
data\gtsrb\GTSRB\Training\00011\00009_00024.ppm,11,foggy,0.580896,0.25422,0.122688,passthrough,11,0.805903,0.805903,11,0.764058,0.764058,11,0.715504,0.715504,11,0.786125,0.786125
data\gtsrb\GTSRB\Training\00011\00009_00024.ppm,11,lowcontrast,0.349089,0.139235,0.119464,passthrough,11,0.625795,0.625795,11,0.635932,0.635932,11,0.576039,0.576039,11,0.783819,0.783819
data\gtsrb\GTSRB\Training\00011\00009_00024.ppm,11,noisy,0.348705,0.467165,0.329204,passthrough,11,0.652821,0.652821,11,0.756992,0.756992,11,0.481925,0.481925,11,0.73292,0.73292
data\gtsrb\GTSRB\Training\00011\00009_00024.ppm,11,mixed,0.532172,0.168143,0.117937,passthrough,11,0.728731,0.728731,11,0.728627,0.728627,11,0.691418,0.691418,11,0.820652,0.820652
data\gtsrb\GTSRB\Training\00011\00022_00015.ppm,11,clean,0.284556,0.568836,0.134586,passthrough,11,0.73835,0.73835,11,0.469689,0.469689,11,0.258868,0.258868,19,0.479257,0.012255
data\gtsrb\GTSRB\Training\00011\00022_00015.ppm,11,lowlight,0.124639,0.524597,0.106767,passthrough,19,0.462327,0.021725,11,0.187561,0.187561,13,0.139822,0.064553,19,0.45596,0.013758
data\gtsrb\GTSRB\Training\00011\00022_00015.ppm,11,foggy,0.543321,0.312629,0.112218,passthrough,11,0.319273,0.319273,11,0.235802,0.235802,25,0.207839,0.134601,11,0.333497,0.333497
data\gtsrb\GTSRB\Training\00011\00022_00015.ppm,11,lowcontrast,0.287012,0.1708,0.065602,passthrough,13,0.180864,0.058177,12,0.129229,0.126797,20,0.290893,0.108654,11,0.402628,0.402628
data\gtsrb\GTSRB\Training\00011\00022_00015.ppm,11,noisy,0.285323,0.562419,0.35,passthrough,13,0.094024,0.045197,13,0.171125,0.033856,20,0.268828,0.004988,25,0.124452,0.032926
data\gtsrb\GTSRB\Training\00011\00022_00015.ppm,11,mixed,0.154,0.522811,0.117105,passthrough,24,0.124174,0.035164,5,0.088685,0.024548,40,0.220315,0.009321,19,0.455805,0.013538
data\gtsrb\GTSRB\Training\00011\00019_00029.ppm,11,clean,0.268641,0.547015,0.13476,passthrough,11,0.963278,0.963278,11,0.893572,0.893572,11,0.935797,0.935797,11,0.966971,0.966971
data\gtsrb\GTSRB\Training\00011\00019_00029.ppm,11,lowlight,0.117019,0.519545,0.122812,gamma,11,0.87374,0.87374,11,0.95573,0.95573,11,0.848761,0.848761,11,0.660217,0.660217
data\gtsrb\GTSRB\Training\00011\00019_00029.ppm,11,foggy,0.534698,0.300663,0.126424,passthrough,11,0.911766,0.911766,11,0.838688,0.838688,11,0.919024,0.919024,11,0.946694,0.946694
data\gtsrb\GTSRB\Training\00011\00019_00029.ppm,11,lowcontrast,0.270889,0.164169,0.121145,passthrough,11,0.658724,0.658724,11,0.710161,0.710161,11,0.651492,0.651492,11,0.878443,0.878443
data\gtsrb\GTSRB\Training\00011\00019_00029.ppm,11,noisy,0.272138,0.533575,0.3187,passthrough,11,0.937335,0.937335,11,0.76786,0.76786,11,0.805345,0.805345,11,0.963911,0.963911
data\gtsrb\GTSRB\Training\00011\00019_00029.ppm,11,mixed,0.130823,0.312294,0.100861,passthrough,11,0.846177,0.846177,11,0.914767,0.914767,11,0.875467,0.875467,11,0.677763,0.677763
data\gtsrb\GTSRB\Training\00011\00008_00013.ppm,11,clean,0.543385,0.447338,0.204365,passthrough,11,0.842586,0.842586,11,0.825778,0.825778,11,0.817068,0.817068,11,0.860037,0.860037
data\gtsrb\GTSRB\Training\00011\00008_00013.ppm,11,lowlight,0.255219,0.590922,0.183107,passthrough,11,0.297856,0.297856,11,0.758749,0.758749,11,0.398747,0.398747,11,0.160322,0.160322
data\gtsrb\GTSRB\Training\00011\00008_00013.ppm,11,foggy,0.68565,0.245975,0.172619,passthrough,11,0.779443,0.779443,11,0.776692,0.776692,11,0.835918,0.835918,11,0.764272,0.764272
data\gtsrb\GTSRB\Training\00011\00008_00013.ppm,11,lowcontrast,0.540196,0.134659,0.162982,passthrough,11,0.679038,0.679038,11,0.717261,0.717261,11,0.647115,0.647115,11,0.780827,0.780827
data\gtsrb\GTSRB\Training\00011\00008_00013.ppm,11,noisy,0.536634,0.447101,0.332766,passthrough,11,0.77763,0.77763,11,0.86656,0.86656,11,0.615244,0.615244,11,0.675072,0.675072
data\gtsrb\GTSRB\Training\00011\00008_00013.ppm,11,mixed,0.662096,0.158767,0.165816,passthrough,11,0.709467,0.709467,11,0.77627,0.77627,11,0.743157,0.743157,11,0.770469,0.770469
data\gtsrb\GTSRB\Training\00011\00001_00005.ppm,11,clean,0.325855,0.276545,0.218798,passthrough,11,0.937087,0.937087,11,0.731598,0.731598,11,0.613768,0.613768,11,0.842817,0.842817
data\gtsrb\GTSRB\Training\00011\00001_00005.ppm,11,lowlight,0.05621,0.189917,0.045917,gamma,25,0.191857,0.163195,11,0.916015,0.916015,11,0.302727,0.302727,19,0.465957,0.008159
data\gtsrb\GTSRB\Training\00011\00001_00005.ppm,11,foggy,0.566126,0.151897,0.09245,passthrough,11,0.449913,0.449913,11,0.46809,0.46809,11,0.267169,0.267169,11,0.608712,0.608712
data\gtsrb\GTSRB\Training\00011\00001_00005.ppm,11,lowcontrast,0.327389,0.083006,0.019414,clahe,25,0.355286,0.065495,11,0.219078,0.219078,11,0.315063,0.315063,11,0.588874,0.588874
data\gtsrb\GTSRB\Training\00011\00001_00005.ppm,11,noisy,0.323861,0.30069,0.36641,passthrough,11,0.167719,0.167719,25,0.272388,0.158361,20,0.199771,0.06495,25,0.164145,0.063106
data\gtsrb\GTSRB\Training\00011\00001_00005.ppm,11,mixed,0.377781,0.147039,0.047149,passthrough,25,0.219985,0.070947,11,0.238102,0.238102,20,0.152909,0.14043,11,0.326446,0.326446
data\gtsrb\GTSRB\Training\00011\00029_00025.ppm,11,clean,0.553365,0.652169,0.159271,passthrough,11,0.737999,0.737999,11,0.773967,0.773967,11,0.741742,0.741742,11,0.622107,0.622107
data\gtsrb\GTSRB\Training\00011\00029_00025.ppm,11,lowlight,0.352586,0.772034,0.148178,passthrough,11,0.374393,0.374393,11,0.714863,0.714863,11,0.257759,0.257759,40,0.129207,0.111971
data\gtsrb\GTSRB\Training\00011\00029_00025.ppm,11,foggy,0.691215,0.358463,0.137536,passthrough,11,0.6023,0.6023,11,0.518215,0.518215,11,0.641474,0.641474,11,0.630842,0.630842
data\gtsrb\GTSRB\Training\00011\00029_00025.ppm,11,lowcontrast,0.549475,0.195161,0.114719,passthrough,11,0.458313,0.458313,11,0.520722,0.520722,11,0.296106,0.296106,11,0.592387,0.592387
data\gtsrb\GTSRB\Training\00011\00029_00025.ppm,11,noisy,0.54346,0.639584,0.27886,passthrough,11,0.634527,0.634527,11,0.751369,0.751369,11,0.621141,0.621141,11,0.572768,0.572768
data\gtsrb\GTSRB\Training\00011\00029_00025.ppm,11,mixed,0.632449,0.475778,0.184073,passthrough,11,0.644448,0.644448,11,0.637953,0.637953,11,0.633995,0.633995,11,0.713815,0.713815
data\gtsrb\GTSRB\Training\00011\00027_00024.ppm,11,clean,0.247992,0.318673,0.121197,passthrough,11,0.850438,0.850438,11,0.956007,0.956007,11,0.760569,0.760569,11,0.683066,0.683066
data\gtsrb\GTSRB\Training\00011\00027_00024.ppm,11,lowlight,0.041368,0.187836,0.062537,gamma,30,0.224865,0.208587,11,0.759405,0.759405,11,0.17609,0.17609,19,0.183876,0.015438
data\gtsrb\GTSRB\Training\00011\00027_00024.ppm,11,foggy,0.523311,0.174998,0.078544,passthrough,11,0.863056,0.863056,11,0.680676,0.680676,11,0.870772,0.870772,11,0.899526,0.899526
data\gtsrb\GTSRB\Training\00011\00027_00024.ppm,11,lowcontrast,0.251281,0.095844,0.017598,clahe,11,0.759309,0.759309,11,0.585717,0.585717,11,0.838023,0.838023,11,0.932963,0.932963
data\gtsrb\GTSRB\Training\00011\00027_00024.ppm,11,noisy,0.24786,0.338831,0.339431,passthrough,11,0.637839,0.637839,11,0.769365,0.769365,11,0.590969,0.590969,11,0.465769,0.465769
data\gtsrb\GTSRB\Training\00011\00027_00024.ppm,11,mixed,0.450281,0.086457,0.013024,clahe,11,0.509978,0.509978,11,0.415047,0.415047,11,0.376944,0.376944,11,0.773815,0.773815
data\gtsrb\GTSRB\Training\00011\00029_00014.ppm,11,clean,0.565327,0.507937,0.264376,passthrough,11,0.660608,0.660608,11,0.637064,0.637064,11,0.584315,0.584315,11,0.708565,0.708565
data\gtsrb\GTSRB\Training\00011\00029_00014.ppm,11,lowlight,0.292718,0.586473,0.245676,passthrough,11,0.283683,0.283683,11,0.66948,0.66948,11,0.187048,0.187048,11,0.15846,0.15846
data\gtsrb\GTSRB\Training\00011\00029_00014.ppm,11,foggy,0.697632,0.279014,0.224638,passthrough,11,0.570242,0.570242,11,0.735323,0.735323,11,0.385302,0.385302,11,0.507425,0.507425
data\gtsrb\GTSRB\Training\00011\00029_00014.ppm,11,lowcontrast,0.559946,0.152384,0.165498,passthrough,11,0.361614,0.361614,11,0.635046,0.635046,11,0.30202,0.30202,11,0.499374,0.499374
data\gtsrb\GTSRB\Training\00011\00029_00014.ppm,11,noisy,0.561715,0.508462,0.312295,passthrough,11,0.533422,0.533422,11,0.525473,0.525473,11,0.462727,0.462727,11,0.649157,0.649157
data\gtsrb\GTSRB\Training\00011\00029_00014.ppm,11,mixed,0.559396,0.241789,0.314165,passthrough,25,0.235162,0.209207,11,0.404648,0.404648,25,0.241981,0.115602,11,0.250571,0.250571
data\gtsrb\GTSRB\Training\00011\00021_00016.ppm,11,clean,0.559523,0.307466,0.148004,passthrough,11,0.938525,0.938525,11,0.895058,0.895058,11,0.85613,0.85613,11,0.943532,0.943532
data\gtsrb\GTSRB\Training\00011\00021_00016.ppm,11,lowlight,0.219532,0.252314,0.146341,passthrough,11,0.459509,0.459509,11,0.880228,0.880228,11,0.212043,0.212043,11,0.229516,0.229516
data\gtsrb\GTSRB\Training\00011\00021_00016.ppm,11,foggy,0.694335,0.168724,0.148004,passthrough,11,0.716596,0.716596,11,0.548551,0.548551,11,0.801614,0.801614,11,0.856479,0.856479
data\gtsrb\GTSRB\Training\00011\00021_00016.ppm,11,lowcontrast,0.578249,0.092278,0.136364,clahe,11,0.464573,0.464573,11,0.423172,0.423172,11,0.734076,0.734076,11,0.626517,0.626517
data\gtsrb\GTSRB\Training\00011\00021_00016.ppm,11,noisy,0.557602,0.335084,0.342572,passthrough,11,0.921514,0.921514,11,0.9356,0.9356,11,0.467394,0.467394,11,0.932033,0.932033
data\gtsrb\GTSRB\Training\00011\00021_00016.ppm,11,mixed,0.309932,0.298868,0.268293,passthrough,11,0.595486,0.595486,11,0.872482,0.872482,11,0.394018,0.394018,11,0.318667,0.318667
data\gtsrb\GTSRB\Training\00011\00008_00012.ppm,11,clean,0.549599,0.447535,0.2046,passthrough,11,0.888138,0.888138,11,0.886942,0.886942,11,0.847874,0.847874,11,0.869032,0.869032
data\gtsrb\GTSRB\Training\00011\00008_00012.ppm,11,lowlight,0.261481,0.603476,0.183111,passthrough,11,0.553476,0.553476,11,0.842506,0.842506,11,0.682211,0.682211,11,0.324097,0.324097
data\gtsrb\GTSRB\Training\00011\00008_00012.ppm,11,foggy,0.689078,0.246093,0.180993,passthrough,11,0.836889,0.836889,11,0.866309,0.866309,11,0.852714,0.852714,11,0.862452,0.862452
data\gtsrb\GTSRB\Training\00011\00008_00012.ppm,11,lowcontrast,0.546045,0.134617,0.138317,passthrough,11,0.736598,0.736598,11,0.739746,0.739746,11,0.820096,0.820096,11,0.83359,0.83359
data\gtsrb\GTSRB\Training\00011\00008_00012.ppm,11,noisy,0.544941,0.444588,0.340194,passthrough,11,0.915766,0.915766,11,0.89377,0.89377,11,0.765488,0.765488,11,0.904347,0.904347
data\gtsrb\GTSRB\Training\00011\00008_00012.ppm,11,mixed,0.342003,0.561778,0.276634,passthrough,11,0.762158,0.762158,11,0.900375,0.900375,11,0.657974,0.657974,11,0.609461,0.609461
data\gtsrb\GTSRB\Training\00011\00027_00004.ppm,11,clean,0.361142,0.395879,0.220949,passthrough,11,0.944261,0.944261,11,0.960287,0.960287,11,0.912921,0.912921,11,0.951387,0.951387
data\gtsrb\GTSRB\Training\00011\00027_00004.ppm,11,lowlight,0.101978,0.365025,0.150573,gamma,11,0.287169,0.287169,11,0.861086,0.861086,11,0.464263,0.464263,23,0.127682,0.082963
data\gtsrb\GTSRB\Training\00011\00027_00004.ppm,11,foggy,0.585414,0.217621,0.179214,passthrough,11,0.889813,0.889813,11,0.768974,0.768974,11,0.864773,0.864773,11,0.943889,0.943889
data\gtsrb\GTSRB\Training\00011\00027_00004.ppm,11,lowcontrast,0.366004,0.118944,0.124386,passthrough,11,0.601708,0.601708,11,0.645686,0.645686,11,0.698281,0.698281,11,0.897663,0.897663
data\gtsrb\GTSRB\Training\00011\00027_00004.ppm,11,noisy,0.358435,0.412758,0.337561,passthrough,11,0.652543,0.652543,11,0.776618,0.776618,11,0.376212,0.376212,11,0.719008,0.719008
data\gtsrb\GTSRB\Training\00011\00027_00004.ppm,11,mixed,0.497149,0.157943,0.144435,passthrough,11,0.778859,0.778859,11,0.714361,0.714361,11,0.765627,0.765627,11,0.903747,0.903747
data\gtsrb\GTSRB\Training\00011\00012_00029.ppm,11,clean,0.521567,0.620775,0.190204,passthrough,11,0.719572,0.719572,11,0.76698,0.76698,11,0.682717,0.682717,11,0.751584,0.751584
data\gtsrb\GTSRB\Training\00011\00012_00029.ppm,11,lowlight,0.305933,0.740251,0.134219,passthrough,11,0.250428,0.250428,11,0.576559,0.576559,11,0.306979,0.306979,11,0.182853,0.182853
data\gtsrb\GTSRB\Training\00011\00012_00029.ppm,11,foggy,0.673712,0.34123,0.148068,passthrough,11,0.561442,0.561442,11,0.474893,0.474893,11,0.510992,0.510992,11,0.739042,0.739042
data\gtsrb\GTSRB\Training\00011\00012_00029.ppm,11,lowcontrast,0.520303,0.185791,0.109152,passthrough,11,0.274568,0.274568,25,0.535723,0.305657,11,0.388662,0.388662,11,0.502947,0.502947
data\gtsrb\GTSRB\Training\00011\00012_00029.ppm,11,noisy,0.513499,0.608886,0.301288,passthrough,11,0.618187,0.618187,11,0.580015,0.580015,11,0.369541,0.369541,11,0.616361,0.616361
data\gtsrb\GTSRB\Training\00011\00012_00029.ppm,11,mixed,0.337161,0.377668,0.12241,passthrough,11,0.248952,0.248952,11,0.234825,0.234825,11,0.312187,0.312187,11,0.303948,0.303948
data\gtsrb\GTSRB\Training\00011\00014_00025.ppm,11,clean,0.307402,0.442704,0.226226,passthrough,11,0.821599,0.821599,11,0.831891,0.831891,11,0.719649,0.719649,11,0.642532,0.642532
data\gtsrb\GTSRB\Training\00011\00014_00025.ppm,11,lowlight,0.090235,0.400693,0.08448,gamma,11,0.723621,0.723621,11,0.786527,0.786527,11,0.379771,0.379771,23,0.348584,0.121951
data\gtsrb\GTSRB\Training\00011\00014_00025.ppm,11,foggy,0.556006,0.243177,0.122309,passthrough,11,0.584524,0.584524,11,0.640336,0.640336,11,0.508423,0.508423,11,0.779165,0.779165
data\gtsrb\GTSRB\Training\00011\00014_00025.ppm,11,lowcontrast,0.308495,0.133113,0.045903,passthrough,11,0.294334,0.294334,11,0.47705,0.47705,11,0.317194,0.317194,11,0.855802,0.855802
data\gtsrb\GTSRB\Training\00011\00014_00025.ppm,11,noisy,0.306571,0.449254,0.342853,passthrough,11,0.726437,0.726437,11,0.730265,0.730265,11,0.518035,0.518035,11,0.576582,0.576582
data\gtsrb\GTSRB\Training\00011\00014_00025.ppm,11,mixed,0.506227,0.292199,0.313846,passthrough,11,0.553375,0.553375,11,0.529217,0.529217,11,0.307133,0.307133,11,0.736521,0.736521
data\gtsrb\GTSRB\Training\00011\00008_00013.ppm,11,clean,0.543385,0.447338,0.204365,passthrough,11,0.842586,0.842586,11,0.825778,0.825778,11,0.817068,0.817068,11,0.860037,0.860037
data\gtsrb\GTSRB\Training\00011\00008_00013.ppm,11,lowlight,0.255219,0.590922,0.183107,passthrough,11,0.297856,0.297856,11,0.758749,0.758749,11,0.398747,0.398747,11,0.160322,0.160322
data\gtsrb\GTSRB\Training\00011\00008_00013.ppm,11,foggy,0.68565,0.245975,0.172619,passthrough,11,0.779443,0.779443,11,0.776692,0.776692,11,0.835918,0.835918,11,0.764272,0.764272
data\gtsrb\GTSRB\Training\00011\00008_00013.ppm,11,lowcontrast,0.540196,0.134659,0.162982,passthrough,11,0.679038,0.679038,11,0.717261,0.717261,11,0.647115,0.647115,11,0.780827,0.780827
data\gtsrb\GTSRB\Training\00011\00008_00013.ppm,11,noisy,0.538342,0.447191,0.334184,passthrough,11,0.657627,0.657627,11,0.700789,0.700789,11,0.584569,0.584569,11,0.690406,0.690406
data\gtsrb\GTSRB\Training\00011\00008_00013.ppm,11,mixed,0.521414,0.351397,0.174036,passthrough,11,0.673889,0.673889,11,0.644307,0.644307,11,0.602213,0.602213,11,0.68915,0.68915
data\gtsrb\GTSRB\Training\00011\00026_00016.ppm,11,clean,0.51561,0.577187,0.238243,passthrough,11,0.576201,0.576201,11,0.423566,0.423566,11,0.473612,0.473612,11,0.527197,0.527197
data\gtsrb\GTSRB\Training\00011\00026_00016.ppm,11,lowlight,0.278806,0.625024,0.224252,passthrough,11,0.322549,0.322549,11,0.557095,0.557095,11,0.222085,0.222085,40,0.134457,0.122586
data\gtsrb\GTSRB\Training\00011\00026_00016.ppm,11,foggy,0.670326,0.317009,0.223993,passthrough,11,0.334483,0.334483,25,0.39231,0.346457,11,0.284543,0.284543,11,0.344225,0.344225
data\gtsrb\GTSRB\Training\00011\00026_00016.ppm,11,lowcontrast,0.521931,0.173128,0.202228,passthrough,25,0.251054,0.173052,25,0.557505,0.273205,11,0.225644,0.225644,11,0.305633,0.305633
data\gtsrb\GTSRB\Training\00011\00026_00016.ppm,11,noisy,0.5106,0.575992,0.312087,passthrough,11,0.58975,0.58975,11,0.41312,0.41312,11,0.523151,0.523151,11,0.560305,0.560305
data\gtsrb\GTSRB\Training\00011\00026_00016.ppm,11,mixed,0.606553,0.208022,0.217645,passthrough,25,0.285322,0.246043,25,0.509907,0.335416,11,0.33557,0.33557,11,0.338162,0.338162
data\gtsrb\GTSRB\Training\00011\00003_00021.ppm,11,clean,0.513391,0.502154,0.27688,passthrough,11,0.80621,0.80621,11,0.801801,0.801801,11,0.746508,0.746508,11,0.79743,0.79743
data\gtsrb\GTSRB\Training\00011\00003_00021.ppm,11,lowlight,0.255279,0.622278,0.243797,passthrough,11,0.430174,0.430174,11,0.752966,0.752966,11,0.374173,0.374173,11,0.264871,0.264871
data\gtsrb\GTSRB\Training\00011\00003_00021.ppm,11,foggy,0.669191,0.27612,0.240414,passthrough,11,0.748813,0.748813,11,0.825154,0.825154,11,0.637636,0.637636,11,0.701801,0.701801
data\gtsrb\GTSRB\Training\00011\00003_00021.ppm,11,lowcontrast,0.50521,0.150522,0.186654,passthrough,11,0.621845,0.621845,11,0.710938,0.710938,11,0.507561,0.507561,11,0.726247,0.726247
data\gtsrb\GTSRB\Training\00011\00003_00021.ppm,11,noisy,0.5078,0.497078,0.329887,passthrough,11,0.86644,0.86644,11,0.903368,0.903368,11,0.812064,0.812064,11,0.817369,0.817369
data\gtsrb\GTSRB\Training\00011\00003_00021.ppm,11,mixed,0.450371,0.441819,0.23609,passthrough,11,0.449289,0.449289,11,0.617641,0.617641,11,0.39916,0.39916,11,0.472757,0.472757
data\gtsrb\GTSRB\Training\00011\00022_00005.ppm,11,clean,0.287501,0.556418,0.110873,passthrough,11,0.88938,0.88938,11,0.710344,0.710344,11,0.639897,0.639897,19,0.123616,0.029233
data\gtsrb\GTSRB\Training\00011\00022_00005.ppm,11,lowlight,0.12191,0.511077,0.049198,passthrough,19,0.313372,0.031504,23,0.329044,0.140667,11,0.120258,0.120258,19,0.55431,0.007123
data\gtsrb\GTSRB\Training\00011\00022_00005.ppm,11,foggy,0.544939,0.305623,0.073084,passthrough,11,0.197334,0.197334,12,0.120132,0.098785,11,0.347908,0.347908,11,0.306948,0.306948
data\gtsrb\GTSRB\Training\00011\00022_00005.ppm,11,lowcontrast,0.29065,0.167072,0.02246,passthrough,20,0.197333,0.044763,32,0.193905,0.058575,11,0.16333,0.16333,11,0.395457,0.395457
data\gtsrb\GTSRB\Training\00011\00022_00005.ppm,11,noisy,0.288936,0.555739,0.334759,passthrough,25,0.096912,0.046029,13,0.104077,0.032201,20,0.193647,0.004238,25,0.177747,0.027926
data\gtsrb\GTSRB\Training\00011\00022_00005.ppm,11,mixed,0.286533,0.327395,0.16328,passthrough,20,0.139135,0.032583,25,0.486632,0.043351,20,0.203457,0.003322,25,0.199851,0.030959
data\gtsrb\GTSRB\Training\00011\00010_00018.ppm,11,clean,0.385322,0.291767,0.216039,passthrough,11,0.805262,0.805262,11,0.884646,0.884646,11,0.45263,0.45263,11,0.573465,0.573465
data\gtsrb\GTSRB\Training\00011\00010_00018.ppm,11,lowlight,0.087279,0.258591,0.104541,gamma,11,0.617982,0.617982,11,0.699311,0.699311,11,0.147468,0.147468,23,0.255595,0.050796
data\gtsrb\GTSRB\Training\00011\00010_00018.ppm,11,foggy,0.598803,0.160109,0.151884,passthrough,11,0.406261,0.406261,25,0.471818,0.426034,11,0.260274,0.260274,11,0.756925,0.756925
data\gtsrb\GTSRB\Training\00011\00010_00018.ppm,11,lowcontrast,0.375818,0.087655,0.072271,clahe,25,0.371578,0.089925,25,0.573362,0.261074,23,0.172853,0.146732,11,0.580852,0.580852
data\gtsrb\GTSRB\Training\00011\00010_00018.ppm,11,noisy,0.382848,0.315946,0.355749,passthrough,11,0.536828,0.536828,11,0.768486,0.768486,23,0.297857,0.066211,11,0.312156,0.312156
data\gtsrb\GTSRB\Training\00011\00010_00018.ppm,11,mixed,0.185686,0.167084,0.10744,passthrough,11,0.750236,0.750236,11,0.402846,0.402846,23,0.167645,0.158322,11,0.384379,0.384379
data\gtsrb\GTSRB\Training\00011\00025_00026.ppm,11,clean,0.24469,0.343429,0.168061,passthrough,11,0.604876,0.604876,11,0.8296,0.8296,11,0.570086,0.570086,11,0.536693,0.536693
data\gtsrb\GTSRB\Training\00011\00025_00026.ppm,11,lowlight,0.043026,0.176877,0.099562,gamma,11,0.31583,0.31583,11,0.543151,0.543151,11,0.284927,0.284927,19,0.096028,0.044242
data\gtsrb\GTSRB\Training\00011\00025_00026.ppm,11,foggy,0.521533,0.188606,0.15983,passthrough,11,0.638827,0.638827,11,0.650165,0.650165,11,0.479202,0.479202,11,0.736772,0.736772
data\gtsrb\GTSRB\Training\00011\00025_00026.ppm,11,lowcontrast,0.249093,0.103296,0.096243,clahe,11,0.310972,0.310972,11,0.447126,0.447126,11,0.314251,0.314251,11,0.714783,0.714783
data\gtsrb\GTSRB\Training\00011\00025_00026.ppm,11,noisy,0.245932,0.359016,0.328289,passthrough,11,0.379138,0.379138,11,0.61464,0.61464,11,0.27544,0.27544,11,0.259858,0.259858
data\gtsrb\GTSRB\Training\00011\00025_00026.ppm,11,mixed,0.419099,0.257841,0.277579,passthrough,11,0.395447,0.395447,11,0.398724,0.398724,11,0.183773,0.183773,11,0.462059,0.462059
data\gtsrb\GTSRB\Training\00011\00024_00007.ppm,11,clean,0.24602,0.302854,0.241558,passthrough,11,0.960146,0.960146,11,0.946832,0.946832,11,0.847822,0.847822,11,0.877027,0.877027
data\gtsrb\GTSRB\Training\00011\00024_00007.ppm,11,lowlight,0.035742,0.139424,0.102165,gamma,11,0.420826,0.420826,11,0.942075,0.942075,11,0.485261,0.485261,19,0.18925,0.047742
data\gtsrb\GTSRB\Training\00011\00024_00007.ppm,11,foggy,0.522173,0.166361,0.229437,passthrough,11,0.868595,0.868595,11,0.775218,0.775218,11,0.823889,0.823889,11,0.918767,0.918767
data\gtsrb\GTSRB\Training\00011\00024_00007.ppm,11,lowcontrast,0.247198,0.091017,0.083983,clahe,11,0.574823,0.574823,11,0.642918,0.642918,11,0.738412,0.738412,11,0.937541,0.937541
data\gtsrb\GTSRB\Training\00011\00024_00007.ppm,11,noisy,0.246468,0.320818,0.345455,passthrough,11,0.680576,0.680576,11,0.759202,0.759202,11,0.331796,0.331796,11,0.627773,0.627773
data\gtsrb\GTSRB\Training\00011\00024_00007.ppm,11,mixed,0.474948,0.09229,0.101299,clahe,11,0.640321,0.640321,11,0.434856,0.434856,11,0.73321,0.73321,11,0.774551,0.774551
data\gtsrb\GTSRB\Training\00011\00022_00020.ppm,11,clean,0.223308,0.527772,0.076695,passthrough,11,0.709195,0.709195,11,0.473822,0.473822,11,0.342383,0.342383,19,0.591157,0.009975
data\gtsrb\GTSRB\Training\00011\00022_00020.ppm,11,lowlight,0.093892,0.494162,0.066922,gamma,19,0.524594,0.009622,19,0.206705,0.056125,19,0.206962,0.021567,19,0.617499,0.004857
data\gtsrb\GTSRB\Training\00011\00022_00020.ppm,11,foggy,0.509875,0.290029,0.065067,stretch,11,0.248894,0.248894,11,0.164847,0.164847,25,0.246933,0.170081,11,0.291159,0.291159
data\gtsrb\GTSRB\Training\00011\00022_00020.ppm,11,lowcontrast,0.225481,0.158547,0.040079,passthrough,20,0.295998,0.041734,12,0.118869,0.086782,20,0.265686,0.077476,11,0.335267,0.335267
data\gtsrb\GTSRB\Training\00011\00022_00020.ppm,11,noisy,0.227653,0.520373,0.312716,passthrough,30,0.112192,0.046224,40,0.108152,0.047099,40,0.208441,0.005766,23,0.192147,0.021551
data\gtsrb\GTSRB\Training\00011\00022_00020.ppm,11,mixed,0.221996,0.306799,0.190995,passthrough,24,0.122194,0.018483,24,0.291295,0.016162,40,0.171468,0.006045,25,0.117059,0.02744
data\gtsrb\GTSRB\Training\00011\00027_00003.ppm,11,clean,0.389521,0.422016,0.20787,passthrough,11,0.909278,0.909278,11,0.929403,0.929403,11,0.802457,0.802457,11,0.92296,0.92296
data\gtsrb\GTSRB\Training\00011\00027_00003.ppm,11,lowlight,0.125488,0.430397,0.15787,passthrough,11,0.243142,0.243142,11,0.809805,0.809805,11,0.266188,0.266188,26,0.112922,0.065065
data\gtsrb\GTSRB\Training\00011\00027_00003.ppm,11,foggy,0.601042,0.231855,0.183333,passthrough,11,0.773432,0.773432,11,0.700101,0.700101,11,0.630512,0.630512,11,0.890681,0.890681
data\gtsrb\GTSRB\Training\00011\00027_00003.ppm,11,lowcontrast,0.394196,0.126681,0.114352,passthrough,11,0.565275,0.565275,11,0.597073,0.597073,11,0.506319,0.506319,11,0.858472,0.858472
data\gtsrb\GTSRB\Training\00011\00027_00003.ppm,11,noisy,0.386596,0.43759,0.353704,passthrough,11,0.887357,0.887357,11,0.888684,0.888684,11,0.61828,0.61828,11,0.895513,0.895513
data\gtsrb\GTSRB\Training\00011\00027_00003.ppm,11,mixed,0.220615,0.208431,0.147685,passthrough,11,0.715491,0.715491,11,0.58152,0.58152,11,0.414299,0.414299,11,0.565103,0.565103
